id,name,company_type,locations,quality,company_size(upper limit),follower_count,high_concept,markets,angellist_url
1180544,SendThruMe,Logistics,Bangalore,4,10,1,Send goods with travelers and save on shipping cost & time by at least 80%.,Logistics,https://angel.co/sendthrume
1180529,FuGenX Technologies,Mobile,Bangalore,2,10,1,mobile apps design development,Mobile Application,https://angel.co/fugenx-technologies-30
1180420,SEO Companies in Chandigarh india,Web Development,Chandigarh,2,50,1,"SEO, Web Design, Web Development, Software Development.","SEO, Social Media Platforms, Web Design, Web Development",https://angel.co/seo-companies-in-chandigarh-india
1180412,Tactivities.com,Mobile,India,3,50,1,Tactivities collects and categorizes all the world’s things to do so. Let’s go exploring!,"Mobile, Mobile Commerce, Travel & Tourism, Ecommerce",https://angel.co/tactivities-com
1180388,Stimulate,Footwear,Noida,2,10,1,Comfortable high heels for women,"Usa, Europe, Middle East, Designer Footwear",https://angel.co/stimulate-1
1180339,TalkLaw,Legal Tech,Mumbai,2,10,1,One stop digital platform for legal solutions,Legal Tech,https://angel.co/talklaw
1180296,Foodelite,Food,Mumbai,3,10,3,online fine dine restaurant + institutional meal services,Food and Beverages,https://angel.co/foodelite
1180242,Sketchlines,UI Design,Pune,3,10,1,"Branding , UX/ UI , Graphic Design","Web Design, User Experience Design, User Interface Design, Graphic Design",https://angel.co/sketchlines
1180139,XOR Labs,Marketing,Chandigarh,2,10,1,XOR Labs is a Digital Marketing company,Digital Marketing,https://angel.co/xor-labs
1180054,Blimps India aerial technologies,Marketing,Bangalore,2,10,1,"aerial RC blimps which can be used for events, advertising and aerial mapping ","Advertising, Events",https://angel.co/blimps-india-aerial-technologies-1
1179975,Awnics Tech.,Web Development,Bangalore,3,10,1,Create Solution to simplify Healthcare access in India,"Web Development, Mobile Application",https://angel.co/awnics-tech
1179946,InnoCenter,Agriculture,Bangalore,2,10,1,"Bringing mechanism to Farmers, Bringing farming to cities","Retail, Industrial Automation, Organic, Home & Garden",https://angel.co/innocenter
